interview_experiences,metadata.url,metadata.scraped_at,metadata.source,basic_info.title,basic_info.difficulty,basic_info.accuracy,basic_info.submissions,basic_info.avg_time,content.problem,complexity.time_complexity,complexity.space_complexity,tags.company_tags,tags.topic_tags
[],https://www.geeksforgeeks.org/problems/remove-the-balls--170647/1,2025-06-11T12:26:49.427853,GeeksforGeeks,Remove the balls,Medium,58.66%,33K+,Not available,"You are given two arrays, color and radius, representing a sequence of balls:
color[i] is the color of the i-th ball.
radius[i] is the radius of the i-th ball.
If two consecutive balls have the same color and radius, remove them both. Repeat this process until no more such pairs exist.
Return the number of balls remaining after all possible removals.
Examples:
Input: color[] = [2, 3, 5], radius[] = [3, 3, 5]
Output: 3
Explanation: All the 3 balls have different colors and radius.
Input: color[] = [2, 2, 5], radius[] = [3, 3, 5]
Output: 1
Explanation: First ball and second ball have same color 2 and same radius 3. So, after removing only one ball is left. It cannot be removed from the array. Hence, the final array has length 1.
Constraints:
1 ≤ color.size() = radius.size() ≤ 105
1 ≤ color[i] ≤ 109
1 ≤ radius[i] ≤ 109",O(n),O(n),[],"['Stack', 'Data Structures']"
"[{'title': 'Amazon Interview Experience Set 291 On Campus For Sde1', 'url': 'https://www.geeksforgeeks.org/amazon-interview-experience-set-291-on-campus-for-sde1/', 'content_summary': 'Amazon visited our campus for SDE_1. The entire interview procedure was divided into a coding round and a set of 4 face to face interview. Online coding round: It was a 90 minutes test with 22 questions(20 MCQs + 2 coding) set hosted on HackerRank. Coding questions: 1. Reverse words in a string. Example: Let the input string be “i like this program very much”. The function should change the string to “much very program this like i” 2. Largest length of subarray with given sum. MCQs consisted of OS, Geometry, Basic Maths, C ,Recursion and such topics. Whoever solved atleast two questions were chosen for the interviews. F2F 1(Technical): He asked me about my Summer Internship Project at Microsoft India Development Centre, Hyderabad and asked me about several technologies involved in it and why I had used certain things. Then he moved on to two technical questions. 1. Given a sorted and pivoted array, find an element given to you. I had given him a O(logn) solution with pivot finding and then doing binary search in either halves. But it was a O(logn) + O(logn), so he asked me to modify it to a one O(logn) question. After giving him the solution, he asked me to write production level code considering all corner test cases. 2. Given a BST which consists of marks of students in a class. It is found that all even ranked students have cheated,so we reduce k marks from their score. Modify the BST to make the change of marks without considering that after this operation, the BST might not remain a BST anymore. I gave him a modified inorder traversal so that elements are sorted and solved it using a counter variable. He asked me to modify it to using neither a static counter variable nor a pointer passed to the recursive calls. For both questions, he also asked me the time and space complexity. F2F 2(Technical): He asked a very brief idea about my Summer Internship again. Then he asked me 2 questions again. 1.Given a k sized window in an array,find max element in each window. https://www.geeksforgeeks.org/maximum-of-all-subarrays-of-size-k/ I discussed a lot with him as to which data structure could be used and finally came up with a Queue solution. I was asked to code it again considering all the corner cases. 2.Implement a queue using stacks with the operations (Enqueue,Dequeue,IsEmpty,Size). While I was telling him the solution,he even asked me whether I would prefer Arrays or Linked List implementation when i make a normal queue. (Space and time complexity for both) F2F 3(Technical): He also asked me a brief introduction to my Summer Internship Project. He began with the pros of cons or arrays and linked lists. Then a question on arrays: 1. Given an array with all even elements present even number of times except one which is present odd number of times. Find that element. I started with XOR solution, but he told me the OS doesn’t support XOR. So, I gave him a HashMap solution. He went on asking me to optimize further. So at the end I had a space complexity of O(k) where k= number of unique elements. Asked me the Space and Time complexity of the most optimized solution. 2. Given four types of array\n a)Increasing(1,2,3,4)\n b)Decreasing(4,3,2,1)\n c)Increasing-decreasing(1,2,3,4,7,6,5)\n d)Decreasing-increasing(7,6,5,1,2,3,4) \nFind the type of array in O(1) and then find the maximum element in the array. Except case c, max element is O(1). For c, I gave binary search solution. he asked me to write the code considering the corner cases. F2F 4(Bar raiser): He asked me what my favorite subject was. I told DS,so he asked me from DS. 1. Write a class of circular queue using array implementation with Enqueue and Dequeue member functions. 2. Given a binary matrix( filled with 0 and 1 only) where 0 depicts water and 1 depicts land. We can traverse either up or down or left or right.Given a source and destination,find if we can reach the destination. He then modified it to finding the path followed and then the minimum path possible. (Code wasn\'t required) 3. Given a series of operations to build a project along with the time taken by each operation. Some operations are dependent on previous operations. Find the minimum number of days needed to finish the operation. I wasn\'t very sure of the solution I was thinking,so he said it was okay and concluded the interview. Tips: 1. Keep sharing your idea with the interviewer, he would help you a lot. 2. Don’t give up, you might come up with a brilliant idea with a little more thinking. And do remember: ""If it doesn\'t end well then it probably hasn\'t ended yet"" I would like to thank all my friends for all the support and a special thanks to GeeksForGeeks for their awesome website. Cheers!\nAll Practice Problems for Amazon !\nRelated Practice Problems\nSubarray with given sum\n\nComment\nMore info\nCampus Training Program\nNext Article\nAmazon Interview Experience | Set 291 (On-Campus for SDE1)'}, {'title': 'Amazon Interview Experience Set 228 On Campus For Internship', 'url': 'https://www.geeksforgeeks.org/amazon-interview-experience-set-228-on-campus-for-internship/', 'content_summary': ""Amazon came to our campus a week back and procedure was as follows: Round-1- 20 easy MCQ 2 coding questions: (a)- Find next greater number with same set of digits -->even brute force solution is working. (b)-Evaluation of post fix expression. Note - Only fight for solving atleast one coding question.If you have not done any coding question then it doesn't matter how many MCQ you have done you can not qualify for next round. I had started with coding question and did 1 question and only 10 MCQ and qualified for next round. 21 candidates were shortlisted. Round 2(Face to Face)(30 min): Introduce yourself -(Just a formality) Asked about test and discussed coding question.(Must solve all coding questions before appearing in interview). Then 2nd question - 1- print a binary tree diagonally.I told him the algo within 2 min then he asked me to write complete code (specially mentioned not pseudo code). It might contain some syntax error but it was not much of a concern. They only see whether are you able to implement the algo properly. Then he told me there was an error in the code and that it doesn't go correctly to next line. I told him it's correct lets run manually and check. The code was correct. 2-Subarray with 0 sum I knew its solution and answered the best solution immediately. He asked me if I had done the question previously. I told not exactly same but I like competitive coding so I have done similar question. Then he extended this question and asked to print all sub-array with some some zero.(write proper code). Then he discussed corner cases I told some then he gave some hint and after that I got the idea so, answered all corner cases. Some questions asked from my friends-> 1-Given an array A[] and a number x, check for pair in A[] with sum as x 2-Find a pair with given target in BST (expect inorder and reverse inorder solution) 3-Maximum width of a binary tree 4-Next larger element 5-Spirally traversing a matrix Note- Same questions were asked by the same interviewer to many candidates so it is advisable to share questions with friends as they select you for next round only if you have done both of the questions. 9 people were shortlisted in this round. Round 3(nearly 2 hours)- 1-Given a stream of number how you will maintain top 10 element. Whenever asked, the answer should be top 10 element till now. (answered in 2 min using min-heap). 2-Alien Dictionary very tough question. In 1 hour with the hint of interviewer I was able to answer this. 3- Some basic C questions - What is difference b/w Malloc, Calloc. Scenario when to use which one. 4- Data structure to use for undo and redo in text editor. I took a lot of time but finally told its answer i.e. stack. 5- Lowest common ancestor of binary tree.(Proper code) After this round 7 candidates were selected. All thanks to geeksforgeeks for helping me with my preparation.\nAll Practice Problems for Amazon !\nRelated Practice Problems\nTop k numbers in a stream\n\nComment\nMore info\nCampus Training Program\nNext Article\nAmazon Interview Experience | Set 228 (On-Campus for Internship)""}]",https://www.geeksforgeeks.org/problems/subarray-with-given-sum-1587115621/1?page=1&sortBy=submissions,2025-06-11T12:27:00.714204,GeeksforGeeks,Indexes of Subarray Sum,Medium,16.5%,1.8M,20m,"Given an array arr[] containing only non-negative integers, your task is to find a continuous subarray (a contiguous sequence of elements) whose sum equals a specified value target. You need to return the 1-based indices of the leftmost and rightmost elements of this subarray. You need to find the first subarray whose sum is equal to the target.
Note: If no such array is possible then, return [-1].
Examples:
Input: arr[] = [1, 2, 3, 7, 5], target = 12
Output: [2, 4]
Explanation: The sum of elements from 2nd to 4th position is 12.
Input: arr[] = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], target = 15
Output: [1, 5]
Explanation: The sum of elements from 1st to 5th position is 15.
Input: arr[] = [5, 3, 4], target = 2
Output: [-1]
Explanation: There is no subarray with sum 2.
Constraints:
1 <= arr.size()<= 106
0 <= arr[i] <= 103
0 <= target <= 109",O(n),O(1),"['Amazon', 'Facebook', 'Google', 'Visa']","['Algorithms', 'Arrays', 'Data Structures', 'prefix-sum', 'Searching', 'sliding-window']"
"[{'title': 'Ola Interview Experience Set 11 Internship', 'url': 'https://www.geeksforgeeks.org/ola-interview-experience-set-11-internship/', 'content_summary': ""Round 1 (Online Test): Four Programming Questions- a) Given a string find number of different substrings that are palindromes. b) In a matrix we can destruct it's one column by vanishing any of the element in column . We have to destruct the matrix completely so that sum of the elements destucted by us (not that destructed itself) is minimum, given the constraint that atleast one of the elements in a row should be canceled by us. Output is that minimum sum. c) Given N points in a grid we have to find all different(altlest one uncommon side) squares of side length K. N, K and points will be input and number of different squares will be output. d) Given an array we have to sort that in inceasing order such that value of V is minimum. where V = sum(position of element in given array * position of element sorted array), position of element is 1 based. Output is sorted array and V. Round 2 (Interview Round 1): Concepts of OOPs like Polymorphism and Inheritance and questions related to projects done. Round 3 (Interview Round 2): 1. Some more OOPs concepts. 2. Data Structures like Hashmap, Sorting algos (Quick sort and Merge sort) (complextiy and just how to implement them). 3. What is Java (as it was my primary programming language). 4. Difference between static and dynamic programming languages. 5. Implementation of Linked List (Code with proper syntax). 6. How to find Square root of a number (without using inbuilt functions, best efficient way O(logN)). 7. In a array each number is stored twice except one that is placed only once. (Best efficient O(logN)). 8. In a sorted array having elements from 1 to N, only one is missing and so array size is N-1. Find missing number in best efficient way (O(logN)) and without possibility of overflow.\nRelated Practice Problems\nCount Palindrome Sub-Strings of a String\nFind the element that appears once in sorted array\nAlone in couple\nCount Squares\nDistinct palindromic substrings\nMissing number in array\nAll Practice Problems for Ola-Cabs !\n\nComment\nMore info\nCampus Training Program\nNext Article\nOLA Interview Experience | Set 11 ( For Internship)""}, {'title': 'Intuit Interview Experience Set 12', 'url': 'https://www.geeksforgeeks.org/intuit-interview-experience-set-12/', 'content_summary': 'Technical Round-1 \n1. Maximum Subarray Sum problem: Different approaches and code \nArticle Link: https://www.geeksforgeeks.org/largest-sum-contiguous-subarray/\nPractice Link: https://www.geeksforgeeks.org/problems/kadanes-algorithm-1587115620/1\n2. Given a 2-D char array, with random alphabets, find the word “INTUIT”, s/t “N” lies in the neighborhood of I, T lies in the neighborhood of N, and so on. Neighborhood meaning any of the eight squares around the middle square. Approach and code using recursion. \n3. Linked List: Pairwise reverse the linked List, eg : 1->2->3->4->NULL to 2->1->4->3->NULL. Code with proper syntax. Dry Run \nArticle Link: https://www.geeksforgeeks.org/pairwise-swap-elements-of-a-given-linked-list/\nPractice Link: https://www.geeksforgeeks.org/problems/pairwise-swap-elements-of-a-linked-list-by-swapping-data/1\nExample Output-based Question. \nint d;\nchar * p1 = malloc(100);\nprintf(“%s %d %s”, p1, d, p2, p3, p4);\n\nAnd so on… \n\n\nTechnical Round-2 \n1. Introduce yourself. \n2. General discussions on the languages: C, C++, Java \n3. Questions related to Pointers: Output based questions – \n4. Memory Leak and a program where this occurs. \n5. General OS concepts \n6. Given 2 processes P1, and P2. And P1 allocates a pointer ptr1 with an address FH1231, discuss if P2 can access this. \n\nTechnical Round-3 \n1. Given 2 strings A and B, determine if B is a rotation of A. Code and logic.\nArticle Link: https://www.geeksforgeeks.org/a-program-to-check-if-strings-are-rotations-of-each-other/\nPractice Link: https://www.geeksforgeeks.org/problems/check-if-strings-are-rotations-of-each-other-or-not-1587115620/1\n2. Given n consecutive numbers starting from 1, determine the one missing number. Different approaches. \nArticle Link: https://www.geeksforgeeks.org/find-the-missing-number/\nPractice Link: https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1\n3. OOPS concepts eg: Comparison of objects, Everything about Inheritance, Static and Dynamic Binding. \n\n\n\n \n\n\n \n\n \n\n\nAll Practice Problems for Intuit ! \n\n\n Related Practice ProblemsMaximum Sub ArrayPairwise swap elements of a linked list by swapping dataMissing number in array\n\n \nComment\nMore info\nCampus Training Program\nNext Article\nIntuit Interview Experience | Set 12'}, {'title': 'Flipkart Interview Experience For Sde 1', 'url': 'https://www.geeksforgeeks.org/flipkart-interview-experience-for-sde-1/', 'content_summary': 'Company Name: Flipkart\nOn-Campus - MANIT \n\nRound 1:Coding round \n\nTo get a chance to participate in this coding rounds, we were asked to fill forms . the candidates  and were short listed here on the basis of pointer ( 7.5 and above  were all selected, for people with pointer 7  to 7.5, there projects and internships were taken into consideration to be allowed to appear in this round) \n\n  3 CODING questions in 90 mins on hackerrank. \n\nQ1 ) Was a simple question, all you had to do was find a PnC formula and just put the values in it to get the answer. \n\nQ2)Was based on array . This was a medium level question, 7/11 test case passed using brute force (O(n^2)). An accurate solution of which is actually in O (n), but i modified my code and managed to get all the 11 test cases right using just a slight modification in my brute force approach! \n\nQ3)A matrix was given, the solution to which was by applying  BFS on it but not exactly that. I could not understand the problem enough as I was running out of time ! \nThe name of the Question was ""Marathon"" and said was a lot similar to some other famour problem named ""Rat in a maze"". \n\n In this round out of 150 students, 22 were shortlisted for interviews, and 10 were kept on waiting list. \n\nRound 2: TECHNICAL  I \n\nIn technical round one, all of us were asked 3 questions. The level of questions was actually easy, and most were selected only if they could answer all of the 3 right ! \n\nQ1) N-1 elements in an array from 1 to n, find the missing one! \n\nhttps://www.geeksforgeeks.org/problems/missing-number-in-array1416/1\n\nI answered it easily so he added the constrain of over flowing numbers, which took me a little while but I got it \n\nQ2) K distance sort \n\nhttps://www.geeksforgeeks.org/problems/nearly-sorted-algorithm/0\n\nHe had clearly stated me that this can be done using normal sorting algo in O(nlogn), but I had to give a more optimized one. \n\nI proposed a solution using a stack, which some how worked for the test case that he gave me, but he proved it wrong and gave me a hint to use another data structure, I got the hint and realised it  was to be done using min heap. Time complexity of which was O(nlogk) ! \n\nQ3)Circular tour \n\nhttps://www.geeksforgeeks.org/problems/circular-tour/1\n\n For this question i gave him a more optimized solution than brute force but with the same complexity, but he did not give me much time for this question as they were running late on schedule. \n\nLater I got to know from sources that I was rated 3.7 out of 5 in this round, which was more than a lot of others. \n\nRound 3: TECHNICAL   II \n\n17 out of 22 made it to this round. \n\nIn this round the questions asked were tough, but the interviewer was very suggestive and kept dropping hints. \n\nQ1)Sum of minimum elements of all sub arrays. \n\nhttps://www.geeksforgeeks.org/sum-of-minimum-elements-of-all-subarrays/ \n\nI gave an immediate solution in nlogn time, but he asked me to optimize it. He gave me hell a lot of hints but I could not solve this easy question. He then said that they are running out of time so let\'s move to the next question. \n\n  \n\nQ2)Cut off trees for golf \n\nhttps://leetcode.com/problems/cut-off-trees-for-golf-event/ \n\nAfter a little bit of pickering I was able to give him a solution in O(r^2c^2), but he did not ask me to improve it. He asked me to write the code for it and tell me what algo was I using. I did write a rough algo just enough to give him a clear idea of what was I thinking and he was satisfied with that ! \nAnd we moved on to the next question. \n\n  \n\nQ3) LRU cache implementation using array, stack/queue, doubly linked list, circular linked list, Hash map. \nhttps://www.geeksforgeeks.org/problems/lru-cache/1\n\nI did them all very easily, and I also told him the story why was I good at it. He was happy enough to let me go again stating that time was a constrain and they had to take further interviews too ! \n\n  \n\nRound 4: HIRING MANAGER ROUND \n\nI was pretty confident that if I make it till here, I will get the job too, which is what happened. \nI entered the room, He asked me ""How was I "" and I told him"" I was hungry""......that did set the tone of the interview to a casual talk and made him comfortable with me. 5-10 mins into the interview, he commented that I was very honest. ANd so went on the conversation and the usual interview Questions. \n\nWhere do you see yourselves in 5 years? \n\nWhat is your strength and weakness? To which I answered as hard working, being both my weakness and strength and justified it . \n\nHe asked me about my story if JEE and getting into this college. \n\nHow did I grow technically and personality wise in the last 3 years? \n\nand usual questions like that ....to which I gave pretty interesting answers ! \n\nWe then discussed a little about any one of my projects of my choice and I some how led that discussion to about how every college group project is like one person doing the entire work, to him I also told that in one of the projects I did the entire work  and everyone got the credit, and how once in second year my partner did the entire project and I got pointers for it too. He was convinced that I was very honest and true !! \n\nAt last he asked me if I had any questions for him . \n\nI asked him only one question, which was that just in case if I get selected for this job at flipkart or even if I do not, what is that one thing that I should improve or learn about my technical part or my personality part. He did not say anything about my technical skills, He only said that he got a picture that I was not passionate enough . I also joined hands and agreed on it and gave a little justification on it. He also said that  I should not take that personally and that he only siad that because I asked so. \n\nThat is where the HM round ended. I got up, we shook hands and he said that mine was the best HM interview he had in the entire day(my was 2nd last interview of the day), and that he had an interesting conversation with me and truly enjoyed it ! \n\n  \n\nI was on Cloud 7 at the end of this interview. \n\nNext day the results were announced. Out of the 12 who appeared for the HM round. Only one candidate was rejected. 9 people (inclusive of me) we awarded  6 month internship + Full time job after that. 2 were awarded a 6 month internship and they would then evaluate their performance and see if they should hire them for full time or not ! Only one guy who made it to the HM round did not get an offer ! \n\n  \n\n \n \nComment\nMore info\nAdvertise with us\nNext Article\nFlipkart Interview Experience for SDE-1'}]",https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1?page=1&sortBy=submissions,2025-06-11T12:27:19.843837,GeeksforGeeks,Missing in Array,Easy,29.59%,1.4M,15m,"You are given an array arr[] of size n - 1 that contains distinct integers in the range from 1 to n (inclusive). This array represents a permutation of the integers from 1 to n with one element missing. Your task is to identify and return the missing element.
Examples:
Input: arr[] = [1, 2, 3, 5]
Output: 4
Explanation: All the numbers from 1 to 5 are present except 4.
Input: arr[] = [8, 2, 4, 5, 3, 7, 1]
Output: 6
Explanation: All the numbers from 1 to 8 are present except 6.
Input: arr[] = [1]
Output: 2
Explanation: Only 1 is present so the missing element is 2.
Constraints:
1 ≤ arr.size() ≤ 106
1 ≤ arr[i] ≤ arr.size() + 1",O(n),O(1),"['Flipkart', 'Morgan Stanley', 'Accolite', 'Amazon', 'Microsoft', 'D-E-Shaw', 'Ola Cabs', 'Payu', 'Visa', 'Intuit', 'Adobe', 'Cisco', 'Qualcomm', 'TCS']","['Arrays', 'Searching', 'Bit Magic', 'Data Structures', 'Algorithms']"
[],https://www.geeksforgeeks.org/problems/second-largest3735/1?page=1&sortBy=submissions,2025-06-11T12:27:37.160989,GeeksforGeeks,Second Largest,Easy,26.72%,1.2M,15m,"Given an array of positive integers arr[], return the second largest element from the array. If the second largest element doesn't exist then return -1.
Note: The second largest element should not be equal to the largest element.
Examples:
Input: arr[] = [12, 35, 1, 10, 34, 1]
Output: 34
Explanation: The largest element of the array is 35 and the second largest element is 34.
Input: arr[] = [10, 5, 10]
Output: 5
Explanation: The largest element of the array is 10 and the second largest element is 5.
Input: arr[] = [10, 10, 10]
Output: -1
Explanation: The largest element of the array is 10 and the second largest element does not exist.
Constraints:
2 ≤ arr.size() ≤ 105
1 ≤ arr[i] ≤ 105",O(n),O(1),"['SAP Labs', 'Rockstand']","['Arrays', 'Searching', 'Data Structures', 'Algorithms']"
